name,openalex_id,works_count,cited_by_count,last_known_institution
Graham D. Ogle,A5084434589,118,5262,University of Papua New Guinea
Tongjit Thanchomnang,A5037814210,117,1438,Udon Thani Hospital
Sukree Sinthupinyo,A5076276278,117,486,Thammasat University
Ross Taylor,A5019640383,116,1281,Thammasat University
James A. Chalmers,A5052250509,116,4434,University of Wyoming
Komsun Suwannarurk,A5052855089,116,692,Prapokklao Hospital
Steven Gordon,A5055879645,116,2420,Thammasat University
Lauri Ojala,A5088866300,114,4028,Thammasat University
Riasat Ali,A5063278543,113,1218,University of Science and Technology Bannu
Charlie C. Chen,A5070740507,113,2506,Appalachian State University
Chih‐Hai Yang,A5101737947,113,3815,Capital Normal University
Seth D. Dodds,A5007402526,112,2592,Harborview Medical Center
Tritos Laosirihongthong,A5059224869,112,3266,Western Sydney University
Smarn Tesana,A5075596019,112,3257,Thammasat University
Pawinee Rerknimitr,A5080630699,112,1724,Thai Health And Information Services
Nanthawat Wannarit,A5008153821,111,328,Universitat de Barcelona
Lesley J. Bruce,A5013166983,111,3738,Bristol Institute for Transfusion Sciences
Md Fazlul Hoque,A5057129562,111,1230,Chattogram Veterinary and Animal Sciences University
Oytip Nathalang,A5059616799,111,829,Siriraj Hospital
Suwadee Kongparakul,A5013389642,110,2426,Chulalongkorn University
Jonas Månsson,A5046042450,110,811,Linnaeus University
William Roth,A5053155310,110,593,New York Hospital Queens
Perapong Tekasakul,A5056593287,110,2518,University of Missouri
Li‐Hua Lian,A5009824978,109,2798,Wonkwang University
S. Tantaratana,A5025110081,109,848,King Mongkut's University of Technology Thonburi
Siriwan Suebnukarn,A5043311612,108,2323,Asian Institute of Technology
Ekawit Nantajeewarawat,A5087449143,108,893,Asian Institute of Technology
Kitirote Wantala‬‬‬‬‬‬‬‬‬‬‬,A5090459357,108,1623,Thammasat University
Chayanin Angthong,A5025363059,107,1299,University of North Carolina at Chapel Hill
Potjanee Srimanote,A5036500920,107,2940,Mahidol University
Nitat Sookrung,A5051668237,107,1790,Health & Life (Taiwan)
Juthathip Jongwanich,A5074548759,107,1456,Bangkok University
Jintamai Suwanprateeb,A5085628734,107,1717,Queen Mary University of London
Neti Waranuch,A5007006760,106,1566,Naresuan University Hospital
T. Onjun,A5026118857,106,769,Pathumthani University
Feng‐Nien Ko,A5113496379,106,4813,Providence University
Chanachai Thongchom,A5059018028,105,1373,Industrial University of Ho Chi Minh City
Trong Nghia Le,A5084535349,105,542,Institute of Technical Education
Minh-Tien Nguyen,A5010175697,104,508,Thammasat University
Pradeep K. Agrawal,A5045826845,104,3822,Georgia Tech Research Institute
Viraphong Lulitanond,A5067681993,104,2041,"Czech Academy of Sciences, Institute of Microbiology"
Jake Ansell,A5073268910,104,1851,National Cancer Research Institute
Amy Lee,A5100686479,104,532,University of North Carolina at Greensboro
Kamaljit Singh,A5108212027,104,1990,Office of Infectious Diseases
Panuwat Joyklad,A5049584264,103,2538,Thammasat University
Shyam Prakash Dumre,A5063063832,103,1355,Nepal Development Research Institute
Wanna Chai่jaroenkul,A5070911108,103,1823,Hodges University
Rika Vira Zwagery,A5077075717,103,151,Thammasat University
Sith Siramolpiwat,A5090303123,103,971,Ramathibodi Hospital
Paramasivam Shanmugam,A5101512158,103,1529,Reliance Industries (India)
Tony Lower,A5028012970,102,1046,Primary Health Care
Ward Berenschot,A5067657243,102,1794,University of Amsterdam
Peerasak Paoprasert,A5072541838,102,2577,Thammasat University
Suman Pant,A5103075825,102,3064,Government of Nepal
Terapong Tantawichien,A5019706094,101,1922,Office of Infectious Diseases
Therdpong Tempark,A5004985099,100,1380,King Chulalongkorn Memorial Hospital
Won‐Min Song,A5020774234,100,3004,Tisch Hospital
Hiroki Nomoto,A5071224661,100,568,Kindai University
Patricia Hynes,A5090812742,100,862,Centre for Social Justice
B. Ooraikul,A5073424902,99,1986,Prince of Songkla University
Vithoon Viyanant,A5014876229,98,2223,National Defense Medical Center
Vien Vo,A5044593104,98,1682,Ewha Womans University Medical Center
Duc V. Nguyen,A5058742256,98,705,University of Alberta
Peter Ractham,A5074213114,98,2021,Claremont Graduate University
Hakas Prayuda,A5082628569,98,307,Sebelas Maret University
Godfrey B. Tangwa,A5002535454,97,2254,Université de Yaoundé I
Joydeep Chandra,A5003396109,97,644,Indian Institute of Technology Patna
Mohammad Khajehzadeh,A5004478465,97,1838,"Islamic Azad University, Damghan Branch"
Surachai Karnjanakom,A5016090325,97,2482,Institut für Regionale Innovation und Sozialforschung
Pattharawin Pattharanitima,A5020473438,97,2097,Thammasat University
Marvin W. Halling,A5066139173,97,1946,American Society of Civil Engineers
Jonathan A. Polonsky,A5011503107,96,2451,World Health Organization Regional Office for Africa
Hoon Choi,A5029770922,96,1440,Supreme Prosecutors Office of the Republic of Korea
Saif Alzabeebee,A5053466452,96,1207,University of Birmingham
Bunyarit Uyyanonvara,A5076223802,96,4212,National Science and Technology Development Agency
Baojun Yang,A5115589764,96,2265,Aviation Industry Corporation of China (China)
Bancha C้hernchujit,A5032388673,95,856,Queen Saovabha Memorial Institute
Junjiro Kawasaki,A5055442711,95,638,Tokyo University of Agriculture and Technology
Matthew M. Reeve,A5055747368,95,507,Queen's University
Taweetham Limpanuparb,A5058369616,95,566,Australian National University
Rahul S Mor,A5073222479,95,3185,Centre for Aromatic Plants
Patarapong Intarakumnerd,A5082156895,95,1487,National Graduate Institute for Policy Studies
Chiravoot Pechyen,A5041020388,94,1512,Thailand National Metal and Materials Technology Center
Kasun M. Thambugala,A5050668540,94,8713,Mae Fah Luang University
Toshio Miyata,A5074294202,94,1015,The University of Tokyo
Shuang Jiang,A5076832561,94,1012,Chinese Academy of Medical Sciences & Peking Union Medical College
Chairat Tantrawatpan,A5002806501,93,1381,Khon Kaen University
Patumrat Sripan,A5008171381,93,601,Thammasat University
Andrew L. Corwin,A5025396783,93,4214,National Center for Health Research
Li‐Chi Chiang,A5027855889,93,1873,Tri-Service General Hospital
Sanchai Dechanupaprittha,A5035034637,93,723,Kasetsart University
Chalie Charoenlarpnopparut,A5051659201,93,473,National Electronics and Computer Technology Center
